iter	Passed	Remaining
399	28806	43209
400	28875	43132
401	28945	43058
402	29015	42982
403	29081	42902
404	29146	42819
405	29213	42740
406	29287	42671
407	29353	42590
408	29429	42524
409	29495	42445
410	29567	42372
411	29634	42293
412	29704	42219
413	29774	42145
414	29843	42068
415	29914	41995
416	29983	41919
417	30055	41847
418	30127	41776
419	30196	41699
420	30270	41630
421	30346	41564
422	30424	41501
423	30489	41419
424	30554	41337
425	30638	41283
426	30707	41207
427	30775	41129
428	30840	41048
429	30915	40981
430	30987	40909
431	31059	40837
432	31130	40764
433	31199	40688
434	31270	40615
435	31346	40548
436	31413	40470
437	31482	40395
438	31549	40317
439	31617	40239
440	31687	40165
441	31769	40107
442	31839	40033
443	31916	39967
444	31981	39886
445	32047	39807
446	32116	39732
447	32181	39652
448	32254	39581
449	32323	39506
450	32392	39431
451	32471	39367
452	32541	39293
453	32609	39217
454	32679	39143
455	32750	39071
456	32821	38997
457	32895	38928
458	32974	38865
459	33051	38799
460	33120	38723
461	33184	38643
462	33258	38574
463	33332	38504
464	33403	38431
465	33481	38366
466	33564	38307
467	33649	38250
468	33726	38185
469	33798	38113
470	33862	38032
471	33940	37967
472	34020	37904
473	34103	37845
474	34174	37772
475	34249	37703
476	34327	37638
477	34400	37566
478	34469	37491
479	34551	37430
480	34626	37362
481	34702	37294
482	34783	37232
483	34858	37162
484	34930	37091
485	35003	37020
486	35080	36953
487	35158	36887
488	35232	36818
489	35318	36760
490	35391	36688
491	35471	36624
492	35554	36563
493	35625	36491
494	35697	36418
495	35773	36350
496	35853	36286
497	35926	36215
498	36000	36144
499	36073	36073
500	36143	35998
501	36220	35931
502	36299	35866
503	36375	35797
504	36452	35730
505	36530	35664
506	36605	35594
507	36685	35530
508	36758	35458
509	36831	35386
510	36905	35316
511	36980	35247
512	37056	35178
513	37133	35110
514	37209	35042
515	37282	34969
516	37363	34906
517	37439	34837
518	37515	34768
519	37590	34698
520	37664	34628
521	37739	34558
522	37814	34488
523	37896	34425
524	37975	34359
525	38048	34286
526	38126	34220
527	38204	34152
528	38290	34092
529	38363	34020
530	38439	33951
531	38528	33893
532	38608	33827
533	38691	33764
534	38761	33689
535	38838	33621
536	38912	33550
537	38984	33477
538	39060	33408
539	39130	33333
540	39216	33272
541	39289	33200
542	39364	33130
543	39434	33055
544	39509	32984
545	39582	32913
546	39666	32849
547	39739	32777
548	39812	32706
549	39885	32633
550	39959	32562
551	40034	32491
552	40107	32419
553	40181	32348
554	40260	32280
555	40340	32214
556	40423	32150
557	40494	32076
558	40569	32005
559	40643	31934
560	40717	31862
561	40792	31792
562	40870	31723
563	40942	31650
564	41019	31581
565	41089	31506
566	41161	31433
567	41244	31368
568	41327	31304
569	41403	31234
570	41488	31170
571	41565	31101
572	41639	31029
573	41710	30955
574	41800	30896
575	41877	30826
576	41956	30758
577	42027	30684
578	42100	30611
579	42182	30545
580	42255	30473
581	42329	30401
582	42400	30327
583	42483	30261
584	42561	30192
585	42636	30122
586	42716	30054
587	42786	29979
588	42858	29906
589	42930	29833
590	43004	29761
591	43084	29693
592	43165	29626
593	43250	29561
594	43330	29493
595	43409	29425
596	43488	29356
597	43555	29279
598	43630	29208
599	43698	29132
600	43768	29057
601	43837	28982
602	43917	28914
603	43994	28844
604	44065	28769
605	44139	28698
606	44224	28633
607	44304	28564
608	44370	28487
609	44436	28410
610	44499	28330
611	44564	28253
612	44639	28181
613	44705	28104
614	44768	28025
615	44839	27952
616	44907	27876
617	44976	27800
618	45045	27726
619	45115	27651
620	45204	27588
621	45287	27521
622	45365	27452
623	45443	27382
624	45527	27316
625	45604	27246
626	45683	27177
627	45757	27104
628	45826	27029
629	45895	26954
630	45964	26879
631	46038	26807
632	46107	26731
633	46173	26655
634	46250	26584
635	46322	26511
636	46394	26438
637	46471	26367
638	46538	26291
639	46610	26218
640	46679	26143
641	46757	26073
642	46827	25999
643	46898	25925
644	46966	25849
645	47034	25774
646	47101	25698
647	47167	25622
648	47243	25550
649	47317	25478
650	47383	25402
651	47452	25327
652	47522	25253
653	47597	25181
654	47660	25103
655	47728	25028
656	47798	24953
657	47861	24876
658	47932	24802
659	47997	24726
660	48065	24650
661	48139	24578
662	48209	24504
663	48279	24430
664	48357	24360
665	48429	24287
666	48508	24217
667	48587	24148
668	48665	24077
669	48739	24005
670	48818	23936
671	48891	23863
672	48959	23788
673	49024	23712
674	49092	23637
675	49162	23563
676	49239	23492
677	49310	23418
678	49375	23342
679	49441	23266
680	49505	23189
681	49577	23116
682	49648	23043
683	49726	22972
684	49801	22901
685	49876	22829
686	49946	22755
687	50015	22681
688	50083	22606
689	50154	22533
690	50221	22457
691	50291	22384
692	50360	22309
693	50435	22238
694	50511	22166
695	50589	22096
696	50658	22022
697	50731	21949
698	50802	21876
699	50870	21801
700	50937	21726
701	51007	21652
702	51080	21580
703	51146	21504
704	51226	21435
705	51291	21359
706	51363	21286
707	51436	21213
708	51512	21142
709	51583	21069
710	51658	20997
711	51723	20921
712	51797	20849
713	51865	20775
714	51937	20702
715	52018	20633
716	52087	20558
717	52160	20486
718	52232	20413
719	52302	20339
720	52371	20265
721	52442	20192
722	52520	20121
723	52594	20049
724	52668	19977
725	52745	19906
726	52817	19833
727	52887	19760
728	52955	19685
729	53029	19613
730	53101	19540
731	53176	19469
732	53248	19396
733	53326	19325
734	53401	19253
735	53485	19185
736	53563	19114
737	53629	19039
738	53696	18964
739	53766	18891
740	53837	18817
741	53913	18746
742	53986	18673
743	54057	18600
744	54125	18526
745	54212	18458
746	54284	18385
747	54373	18318
748	54455	18248
749	54526	18175
750	54597	18102
751	54680	18033
752	54761	17963
753	54834	17890
754	54904	17816
755	54970	17741
756	55035	17666
757	55106	17593
758	55176	17519
759	55247	17446
760	55319	17373
761	55390	17300
762	55462	17227
763	55536	17155
764	55621	17086
765	55691	17012
766	55763	16939
767	55832	16866
768	55908	16794
769	55974	16719
770	56043	16645
771	56109	16571
772	56180	16498
773	56249	16424
774	56317	16350
775	56391	16277
776	56462	16204
777	56530	16130
778	56605	16058
779	56677	15985
780	56748	15912
781	56818	15839
782	56889	15766
783	56962	15693
784	57033	15620
785	57107	15548
786	57175	15474
787	57244	15400
788	57310	15326
789	57377	15252
790	57444	15178
791	57520	15106
792	57586	15032
793	57670	14962
794	57735	14887
795	57805	14814
796	57874	14740
797	57940	14666
798	58008	14592
799	58078	14519
800	58150	14446
801	58224	14374
